# 格式：IP段|备注
# 1.2.3.0/24|扫描器

66.132.159.0/24|Censys
66.132.148.0/24|Censys
66.132.153.0/24|Censys
66.132.224.0/24|Censys
66.132.186.0/24|Censys
66.132.195.0/24|Censys
66.132.172.0/24|Censys
162.142.125.0/24|Censys
167.94.138.0/24|Censys
167.94.145.0/24|Censys
167.94.146.0/24|Censys
167.248.133.0/24|Censys
199.45.154.0/24|Censys
199.45.155.0/24|Censys
206.168.34.0/24|Censys
206.168.35.0/24|Censys
14.225.0.0/16|Korea Telecom
38.22.170.0/24|Offshore LC
41.82.32.0/19|STUDIO AN-TV SRL
45.142.193.0/24|Fiberwifi SA de CV
45.144.212.0/24|SKYNET NETWORK LTD
45.156.87.0/24|Alibaba
47.251.0.0/16|Volcano Engine Technology
49.13.0.0/16|VIETNAM POSTS
77.83.39.0/24|TOTAL PLAY
103.154.230.0/23|PT Ikubaru Indonesia
103.219.249.0/24|Hetzner Online GmbH
112.216.0.0/13|KPROHOST LLC
115.190.184.0/21|KPROHOST LLC
130.12.181.0/24|VPS Dedicated LLC
176.65.139.0/24|SONATEL
178.175.167.0/24|Odido Netherlands B.V.
178.230.0.0/16|Feo Prest SRL
186.96.158.0/24|LG DACOM Corporation
213.209.159.0/24|PT Digital Media Telematika
220.88.0.0/14|TechTies Inc
